preco,vendido,km_por_ano,idade_carro,modelo_carro
80300.46,0,27989.710848000002,14,16
103801.19,0,29372.137344000002,11,11
55874.91,1,19394.204544,20,18
46315.44,0,22200.90048,26,28
75938.53,0,25234.51392,21,20
55401.34,1,25411.54176,16,17
65761.48,0,9298.789632,19,21
27817.54,1,10814.79168,25,25
19850.82,1,13912.778880000002,25,26
95755.37,0,32141.818368000004,10,10
40400.53,1,18797.13792,14,16
110690.57,1,26921.106432,20,19
27716.48,1,28937.614464000002,23,21
70343.39,0,32742.103680000004,20,19
98412.88,0,12364.589952,16,14
80541.59,0,38450.446848,23,22
96096.25,0,21652.114176000003,17,16
77244.26,0,32075.835264,23,25
68299.71,0,21896.734464,18,16
111244.38,0,17062.265088,19,17
90401.7,1,14038.307712000002,19,18
26955.05,1,18163.056384,19,18
60646.51,0,29166.141312000003,15,14
83964.09,1,18192.024576,21,22
84740.57,0,15872.959872000001,24,25
70549.92,0,19131.881472,24,23
55664.61,1,15240.48768,18,17
40858.27,1,15971.129856000001,25,23
37208.98,1,27777.27744,22,24
106805.75,1,19902.757248,26,25
85981.58,1,20031.504768000003,22,23
90746.74,0,21433.243392,17,18
25530.37,1,39464.333568,17,15
42114.38,1,20042.770176,26,27
62955.76,0,36303.581952,22,23
62601.2,0,27143.195904,14,14
14413.13,1,15779.61792,25,23
57965.53,1,24547.324032,12,12
63861.1,1,19579.279104,18,16
32423.59,1,29003.597568,26,25
43559.2,1,27086.868864,24,26
104052.72,1,20528.792064,16,15
68838.93,1,9131.417856,22,22
85783.86,0,27307.348992000003,20,20
88167.15,0,23000.744448,25,24
42538.65,1,22780.264320000002,19,18
97880.4,0,17506.444032,26,25
62681.06,0,22410.1152,24,24
52926.99,1,13265.822592,26,27
67329.21,1,20494.99584,21,23
20846.59,1,12794.284800000001,19,19
58939.63,1,27154.461312000003,25,23
88674.81,0,12641.397120000001,12,12
49765.05,1,25313.371776,17,17
41307.46,1,23351.58144,22,22
45362.91,1,15935.724288000001,16,15
50057.74,1,19790.103168,24,25
44310.77,1,14609.624832000001,22,20
51853.51,1,38493.899136,22,24
65149.93,0,26039.185920000004,17,18
85506.78,0,32664.855168000002,20,20
71596.17,0,32138.599680000003,25,25
55055.51,1,16082.174592000001,19,20
49025.81,1,24862.755456000003,10,10
60821.74,0,24219.017856000002,22,23
81831.6,0,37203.205248000006,20,19
82521.32,1,18929.104128000003,15,17
78328.58,0,25403.49504,11,12
31185.41,1,30545.349120000003,25,25
61411.58,0,14997.476736,19,20
66153.58,0,27053.072640000002,20,18
55137.78,1,24048.427392,21,23
50513.62,0,33649.773696000004,20,20
35149.84,1,34649.176320000006,21,20
83297.56,0,28026.72576,21,19
93908.17,0,12235.842432000001,20,21
104612.09,1,22091.465088,16,15
55070.37,0,18913.010688000002,24,24
82861.88,0,20316.358656,12,10
41954.96,1,24457.200768000002,24,22
106143.54,1,22612.892544000002,22,22
96169.66,0,19885.054464,23,22
51913.4,0,24418.576512000003,22,23
59815.67,1,12985.796736,22,21
90189.83,0,23969.569536000003,26,25
86648.92,0,26184.02688,20,19
25472.09,1,28752.539904,26,24
23477.18,1,20567.41632,25,23
88926.53,0,25070.360832000002,18,17
47535.86,0,19090.038528,19,17
52835.52,1,21203.107200000002,24,25
60396.79,0,37076.067072000005,18,17
47491.72,1,24228.67392,15,15
55869.47,0,13690.689408,26,27
44250.73,1,10331.98848,14,16
27710.15,1,24658.368768,26,25
114701.35,0,27220.444416000002,16,16
56185.73,1,31147.243776000003,21,20
52716.99,1,27775.668096,21,23
30496.76,1,16437.839616,23,23
30686.29,1,42538.180608,24,26
55129.13,0,15758.696448,21,23
29643.29,1,24771.022848,14,15
68762.98,0,19833.555456000002,21,21
82962.29,1,17545.068288000002,12,14
16907.72,1,22128.480000000003,25,24
30812.73,1,19225.223424,22,23
46181.5,1,25112.203776000002,11,13
54531.19,0,14398.800768000001,17,18
96511.12,0,13418.710272,26,24
57887.84,1,37608.759936,19,17
63543.24,0,36413.017344,18,17
45855.28,1,25440.509952,24,25
77605.68,1,20501.433216,14,14
17118.01,1,16029.066240000002,24,22
96670.08,1,8844.954624,25,23
43224.35,1,15703.978752,19,20
60916.85,1,20068.51968,25,24
64801.02,0,17960.27904,24,25
52450.74,1,27222.053760000003,18,19
60177.16,0,13190.183424,21,19
100429.64,1,27461.846016000003,18,17
69907.81,1,29422.027008,26,27
58367.72,0,24153.034752000003,21,22
92028.22,0,25622.365824,18,17
21990.03,1,30934.810368000002,22,22
67815.16,0,21077.578368000002,20,22
107739.84,0,9281.086848,17,16
34201.64,1,21465.430272,23,22
77844.32,0,25543.507968,12,13
29576.99,1,33060.753792,23,22
53445.79,1,26557.394688,19,17
63403.84,0,39718.60992,26,24
45854.85,0,38001.439872,15,17
37776.96,1,16677.631872,17,19
114977.51,1,22402.06848,16,17
94770.54,0,15995.270016,26,27
39677.04,1,16428.183552000002,17,18
68765.21,0,26721.547776000003,19,18
60557.45,1,22468.051584,14,12
52459.5,1,20277.7344,22,21
101767.23,0,25607.881728,22,21
45658.62,1,31792.590720000004,26,25
97645.54,0,22054.450176000002,24,23
79332.74,0,12456.32256,22,24
71344.99,0,31613.953536,24,22
96267.37,0,32383.219968,24,25
97742.8,1,22817.279232,12,12
71730.69,0,19679.058432,26,28
92118.45,0,24040.380672000003,24,23
86895.79,0,13320.540288,17,17
80811.89,1,17059.046400000003,21,21
60301.19,0,22765.780224000002,17,18
72823.12,0,14244.303744,22,23
64421.22,1,17945.794944,24,24
97257.56,0,27669.451392000003,19,19
86046.63,0,28559.418624,21,23
66538.26,0,18776.216448000003,20,22
55775.43,0,32901.428736,10,9
75998.38,0,19302.471936,16,17
41081.74,0,16291.389312000001,11,9
59857.03,1,30743.298432000003,19,17
64190.79,0,60179.809536,11,9
73410.03,0,17055.827712000002,17,16
99430.17,1,18781.04448,15,15
50957.91,1,22772.2176,21,19
84360.9,0,31078.041984000003,21,21
93693.78,0,25895.954304000003,16,14
50087.6,1,29273.967360000002,17,18
44378.87,1,38493.899136,19,21
95736.89,0,28821.741696,21,22
25309.79,1,19672.621056,22,22
89301.89,0,24561.808128,20,20
37872.08,1,32981.895936,24,22
32015.55,1,22487.363712000002,14,13
53270.42,0,12548.055168,24,25
35354.08,1,19016.008704,15,17
102614.05,1,37904.879232,17,15
60686.91,1,19218.786048,24,22
32230.06,1,27239.756544000003,22,24
28056.3,1,18494.581248000002,21,19
80387.31,0,21645.6768,12,11
90394.28,0,25897.563648000003,26,26
78238.12,1,22900.96512,21,22
20636.39,1,15512.466816000002,24,23
62340.6,1,10275.66144,15,16
91123.54,0,21697.175808,19,19
16043.96,1,21201.497856,23,21
51197.87,1,25533.851904000003,17,18
74060.87,0,19104.522624,18,18
32222.66,1,28380.781440000002,25,27
26129.87,1,29718.146304,18,16
88099.83,0,28691.384832000003,23,24
81441.14,1,17677.034496,22,20
69025.81,1,15522.12288,18,20
43005.66,1,14698.138752,24,23
72457.14,0,10713.403008000001,17,15
61418.1,0,17714.049408000003,9,10
95856.58,1,25572.476160000002,16,14
47468.8,1,15646.042368,23,25
57628.09,1,12403.214208000001,24,24
67773.9,0,19252.582272,25,25
27983.28,1,28198.925568000002,22,24
30048.86,1,18555.73632,25,23
69954.14,1,16909.377408,23,25
68798.47,0,21381.744384,25,26
96111.84,1,14929.884288000001,13,14
98987.32,0,27312.177024,25,24
93424.64,0,34626.645504,25,26
51221.41,1,16349.325696000002,23,25
50693.66,0,9483.864192000001,19,17
60867.55,0,27317.005056,24,26
33329.29,1,18351.349632,24,22
86023.79,1,19130.272128,25,25
38155.67,1,34013.485440000004,21,20
72108.55,0,30696.627456000002,22,23
87508.53,0,23526.999936,21,20
101103.66,1,15407.859456,17,16
71912.15,1,24122.457216000003,19,19
75682.44,0,31232.539008000003,17,18
49830.26,1,15451.311744,16,15
96731.56,0,23219.615232,14,15
80440.24,0,29418.808320000004,22,24
62700.93,0,21014.813952,18,19
75160.29,1,22432.646016000002,24,22
104705.85,1,32209.410816000003,18,17
90899.86,1,17231.246208,21,22
103643.22,0,41511.419136000004,24,22
89084.24,1,20659.148928000002,25,27
88657.86,0,20969.75232,21,21
61331.48,0,32106.412800000002,13,15
41625.0,0,26058.498048,23,22
30430.91,1,23948.648064,26,26
79290.13,1,23779.666944,21,22
108974.78,0,20509.479936,12,13
105346.4,0,20942.393472,13,15
25477.08,1,27461.846016000003,19,18
91190.27,0,18426.988800000003,17,18
65653.57,1,16680.850560000003,12,11
93325.37,0,9619.049088,18,16
90110.38,0,23580.108288000003,25,25
86579.53,0,38341.011456,13,14
43509.27,0,25146.0,25,26
43966.31,1,19510.077312,24,23
38979.54,1,19696.761216000003,24,22
58125.86,1,20794.333824,23,21
42052.8,0,63128.127744000005,26,26
73584.98,1,13241.682432000001,19,17
48287.26,1,20900.550528,16,18
67867.53,0,13309.27488,25,26
68562.61,0,30680.534016,18,20
80135.94,0,36273.004416,13,11
82571.99,0,29137.173120000003,23,21
58997.33,0,24608.479104000002,19,17
86868.2,0,35326.710144000004,21,22
92393.34,0,30743.298432000003,8,6
82078.97,0,22468.051584,26,27
51097.21,1,19877.007744000002,22,21
76746.96,0,12958.437888,23,21
31126.22,1,25570.866816,14,15
87421.77,1,13521.708288000002,23,25
54789.0,1,9567.55008,20,18
47870.87,1,43307.44704000001,17,16
77192.03,1,15763.524480000002,18,18
60215.14,0,28297.095552000002,24,22
38926.9,1,16836.956928,19,19
77690.95,0,32296.315392,16,16
42749.08,1,30130.138368000004,12,10
37562.77,1,34594.458624,22,20
25479.97,1,25557.992064000002,21,23
84121.67,1,23742.652032,26,28
96223.45,1,21233.684736000003,18,17
52092.5,1,20606.040576000003,17,16
53350.22,1,18838.980864,12,14
43823.16,1,20099.097216000002,26,26
92956.75,0,28351.813248000002,23,24
85323.93,0,584.191872,21,23
68765.44,0,25060.704768000003,23,21
48849.12,0,8140.061952000001,26,26
76616.81,0,20931.128064,8,10
39044.74,1,13330.196352,24,22
39937.5,1,17385.743232,26,27
70756.45,1,18454.347648000003,14,13
65982.96,1,11363.577984000001,13,14
73918.08,0,24507.090432,11,11
47279.05,0,20869.972992000003,24,25
35508.95,1,22223.431296000002,24,22
71871.52,1,10338.425856,19,17
18234.99,1,13595.738112000001,24,25
93710.17,1,20908.597248000002,21,21
27831.26,1,10544.421888,22,23
41566.03,1,14125.212288,26,25
72281.71,0,32930.396928,14,14
58031.32,1,13647.237120000002,23,23
63153.7,0,27642.092544000003,23,21
61992.78,0,25918.48512,25,25
60826.02,0,32846.71104,21,20
78971.4,0,14575.828608000002,24,26
80857.98,0,11717.633664,12,10
41841.71,1,30928.372992,21,21
74738.67,0,30883.311360000003,26,25
37754.27,1,26195.292288,21,19
48880.96,1,19704.807936,25,26
111232.69,1,18615.282048,11,11
43522.35,1,28754.149248,18,19
89175.83,0,24717.914496,16,16
84895.96,0,28704.259584000003,14,16
31159.1,1,14157.399168000002,19,17
33671.6,1,24001.756416,24,23
75378.47,0,16381.512576000001,18,17
52821.78,0,20770.193664000002,18,19
97969.32,1,14873.557248000001,25,27
82130.68,0,17195.840640000002,18,16
69938.01,1,17865.327744000002,17,18
60151.71,0,40775.948928000005,26,26
90791.51,0,20168.299008,22,24
69216.95,0,38513.211264000005,13,11
51786.56,1,25875.032832,25,27
85492.67,0,35975.275776,24,24
78506.26,0,27740.262528000003,26,26
44195.14,0,15274.283904000002,16,18
83396.53,0,17722.096128,13,12
97387.88,0,27793.370880000002,19,18
11849.57,1,29319.028992000003,24,23
65749.97,0,31290.475392,24,23
57209.28,0,22376.318976000002,22,22
22733.76,1,29211.202944,22,23
68274.8,0,20358.2016,19,21
50935.23,0,29270.748672,14,12
83821.74,1,21219.200640000003,22,24
76443.36,1,17163.65376,11,12
94356.13,1,21877.422336000003,16,18
20653.47,1,24648.712704,23,25
44063.92,1,32732.447616,26,28
74128.76,1,30112.435584000003,14,13
18239.6,1,21821.095296000003,26,26
42592.0,1,21972.373632000003,22,22
93973.19,0,25656.162048000002,17,19
13019.74,1,16315.529472000002,26,25
80643.48,0,28659.197952000002,16,17
47153.12,1,10682.825472,26,28
61161.66,0,19370.064384,23,24
11053.79,1,32117.678208,26,27
21895.94,1,18959.681664,26,24
80450.28,0,17601.395328000002,24,24
87141.84,0,21861.328896000003,25,23
50261.76,1,11511.637632,20,18
91365.12,0,27712.903680000003,18,20
96716.21,1,18993.477888,24,26
46222.38,1,11173.675392000001,25,23
93889.4,1,21246.559488000003,20,22
58691.22,0,22517.941248000003,23,22
97824.01,0,14258.78784,17,15
